Property Address,Insight 1,Insight 2,Driver,Account,Criticality
"1878 Krause Cliff St, New York",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,StreamView Media,Critical
"3511 Hansen Gateway St, New York",Accessibility,ADA Compliance,Frequent elevator breakdowns,EverGrow Farms,Medium
"7788 Steven Falls St, Houston",Energy Usage,Off-Hours,Low energy efficiency,NexaRetail,High
"9083 Jennifer View St, Miami",Leases,Expiring,Low renewal rates,GreenLeaf Co.,Critical
"7265 Brown Divide St, New York",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,High
"8830 Bean Glen St, Seattle",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,High
"4422 Rivera Corners St, Atlanta",Energy Usage,Off-Hours,Low energy efficiency,NexaRetail,High
"1365 John Canyon St, New York",Safety Incidents,Hazardous Materials,Recent fire drill failure,GreenLeaf Co.,Critical
"8862 Marissa Ways St, Dallas",Energy Usage,Energy Efficiency,Low energy efficiency,StreamView Media,Medium
"4202 Mccarthy Parks St, Los Angeles",Work Orders,Reactive,Completion Rates below 50%,NexaRetail,Medium
"9544 Walter Rest St, Miami",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,TechSphere Inc.,Medium
"1645 Alejandra Rest St, New York",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,High
"1487 Rhonda Lodge St, Houston",Safety Incidents,Fire Safety,Recent fire drill failure,Skyline Properties,Medium
"4367 Daniel Expressway St, Chicago",Tenant Satisfaction,Amenities Feedback,Negative amenities feedback,EverGrow Farms,Low
"6709 Stephanie Brook St, Seattle",Leases,Occupancy,Low renewal rates,EverGrow Farms,Critical
"6953 Cheryl Walks St, Dallas",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,Critical
"7993 Gibson Mills St, Seattle",Energy Usage,Off-Hours,Low energy efficiency,EverGrow Farms,Medium
"5325 Francis Points St, New York",Tenant Satisfaction,Noise Complaints,Low lease satisfaction scores,StreamView Media,Low
"8668 Haley Canyon St, Seattle",Leases,Occupancy,Low renewal rates,NexaRetail,Critical
"2855 Whitney Prairie St, Seattle",Work Orders,Completion Rate,Completion Rates below 50%,NexaRetail,Low
"2235 Peterson Corner St, Houston",Work Orders,Preventative,High number of reactive work orders,GreenLeaf Co.,High
"9956 Jonathan Parks St, Seattle",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Bank of ACME,High
"1926 Scott Spring St, Atlanta",Energy Usage,Off-Hours,Low energy efficiency,NexaRetail,High
"3558 Martin Lane St, Dallas",Accessibility,ADA Compliance,Non-ADA compliant areas,NexaRetail,High
